Series Name,"Series Code","Country Name","Country Code","2019 [YR2019]"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Afghanistan","AFG","3.91160341625552"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Albania","ALB","2.08771199649604"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Algeria",DZA,"0.89999999991042"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","American Samoa","ASM","-0.487804878048777"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Andorra","AND","2.01554763848308"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Angola","AGO","-0.702272957616017"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Antigua and Barbuda","ATG","3.10044514982847"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Argentina","ARG","-2.00086100285785"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Armenia","ARM","7.59999999853918"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Aruba","ABW","-2.3028363027198"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Australia","AUS","2.1811091061096"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Austria","AUT","1.45052918393192"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Azerbaijan","AZE","2.50000006743734"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Bahamas, The","BHS","-1.35726520928898"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Bahrain","BHR","2.1669646688237"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Bangladesh","BGD","7.88191515117722"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Barbados","BRB","0.379893732533731"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Belarus","BLR","1.44620667102681"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Belgium","BEL","2.24083533103139"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Belize","BLZ","4.23623453555723"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Benin","BEN","6.86568662848335"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Bermuda","BMU","0.306266735233933"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Bhutan","BTN","5.75514851246506"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Bolivia","BOL","2.21670563961031"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Bosnia and Herzegovina","BIH","2.88734334414875"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Botswana","BWA","3.0322025744566"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Brazil","BRA","1.22077782360842"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","British Virgin Islands","VGB",".."
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Brunei Darussalam","BRN","3.86910986506845"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Bulgaria","BGR","4.03518894662498"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Burkina Faso","BFA","5.8892049704591"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Burundi","BDI","1.81256532401552"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Cabo Verde","CPV","6.94782632492097"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Cambodia","KHM","7.05410693152042"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Cameroon","CMR","3.47505998194981"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Canada","CAN","1.9084319253883"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Cayman Islands","CYM","3.91563637725301"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Central African Republic","CAF","3.09999999999999"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Chad","TCD","3.24718191743429"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Channel Islands","CHI","2.3607446539344"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Chile","CHL","0.634367533828438"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","China","CHN","5.95050075367413"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Colombia","COL","3.18685539245533"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Comoros","COM","1.76078023923176"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Congo, Dem. Rep.","COD","4.38452887429834"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Congo, Rep.","COG","1.12447707363883"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Costa Rica","CRI","2.41751181706449"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Cote d'Ivoire","CIV","6.72137167595899"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Croatia","HRV","3.44274248042554"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Cuba","CUB","-0.163087223606624"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Curacao","CUW","-3.20613230348162"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Cyprus","CYP","5.53725481070528"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Czechia","CZE","3.02987866345279"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Denmark","DNK","1.49348695853648"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Djibouti","DJI","5.5451305999467"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Dominica","DMA","5.5024834367041"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Dominican Republic","DOM","5.05216802016253"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Ecuador","ECU","0.165403532646692"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Egypt, Arab Rep.","EGY","5.55209307084222"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","El Salvador","SLV","2.43747159065784"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Equatorial Guinea","GNQ","-5.48182537893445"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Eritrea","ERI",".."
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Estonia","EST","4.03368839094283"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Ethiopia","ETH","8.3640856990789"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Faroe Islands","FRO","4.39010333975558"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Fiji","FJI","-0.580504494558028"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Finland","FIN","1.22474892206223"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","France","FRA","1.84297181445896"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","French Polynesia","PYF","2.69993449863051"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Gabon","GAB","3.92080879452831"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Gambia, The","GMB","6.22205315994859"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Georgia","GEO","5.38071926589951"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Germany","DEU","1.07547163576423"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Ghana","GHA","6.5077747939152"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Gibraltar","GIB",".."
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Greece","GRC","1.87948998590817"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Greenland","GRL","2.83217756798683"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Grenada","GRD","0.676511738873756"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Guam","GUM","2.52360203340596"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Guatemala","GTM","4.0178979343828"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Guinea","GIN","5.61691446969918"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Guinea-Bissau","GNB","4.50009293739862"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Guyana","GUY","5.35284003535665"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Haiti","HTI","-1.72309699839232"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Honduras","HND","2.55963434592314"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Hong Kong SAR, China","HKG","-1.67242651924354"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Hungary","HUN","4.86422573511891"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Iceland","ISL","1.86117794293874"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","India","IND","3.87143694070957"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Indonesia","IDN","5.01928768046282"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Iran, Islamic Rep.","IRN","-3.0705879849703"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Iraq","IRQ","5.51379057418826"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Ireland","IRL","5.2977280259237"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Isle of Man","IMN","0.254878786117672"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Israel","ISR","4.15613798897733"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Italy","ITA","0.483198316597154"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Jamaica","JAM","0.892291653822227"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Japan","JPN","-0.402169200910933"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Jordan","JOR","1.75123905880616"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Kazakhstan","KAZ","4.50000000091883"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Kenya","KEN","5.11415885767801"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Kiribati","KIR","3.31125827814569"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Korea, Dem. People's Rep.","PRK",".."
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Korea, Rep.","KOR","2.24397786011012"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Kosovo","XKX","4.75680057007834"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Kuwait","KWT","1.38146367984326"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Kyrgyz Republic","KGZ","4.60062565707598"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Lao PDR","LAO","5.4577350924848"
